CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,sum_log10BF,log10BF_PA,POS,marker.ID,CHRN,NumSigCond_PA,log10BF_PGS,NumSigCond_PGS,log10BF_KA,NumSigCond_KA,log10BF_KGS,NumSigCond_KGS,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01N,3475110,3495110,20001,+,spliceSite,40,11638,Pavir.1NG027300,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3492209,3500463,8255,-,41585454,Pavir.1NG027300.1,Pavir.1NG027300.1.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF14",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT5G20730.2,"ARF7,BIP,IAA21,IAA23,IAA25,MSG1,NPH4,TIR5",Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",-7099,-15353,7099
Chr01N,3475110,3495110,20001,+,spliceSite,40,11639,Pavir.1NG027300,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3492209,3500463,8255,-,41585454,Pavir.1NG027300.1,Pavir.1NG027300.1.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF14",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT5G20730.2,"ARF7,BIP,IAA21,IAA23,IAA25,MSG1,NPH4,TIR5",Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",-7099,-15353,7099
Chr01N,3475110,3495110,20001,+,spliceSite,40,7832,Pavir.1NG027500,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3485325,3486255,931,+,41588033,Pavir.1NG027500.1,Pavir.1NG027500.1.p,PF02391,"PTHR23404,PTHR23404:SF2",KOG3307,2.8.1.12,K03635,GO:0006777,AT2G43760.1,NA,molybdopterin biosynthesis MoaE family protein,LOC_Os02g04740.1,NA,"molybdenum cofactor synthesis protein 2 large subunit, putative, expressed",-215,-1145,215
Chr01N,3475110,3495110,20001,+,spliceSite,40,7833,Pavir.1NG027400,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3491223,3492412,1190,+,41587833,Pavir.1NG027400.1,Pavir.1NG027400.1.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT4G31310.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",-6113,-7302,6113
Chr01N,3475110,3495110,20001,+,spliceSite,40,7834,Pavir.1NG027400,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3491223,3492412,1190,+,41587833,Pavir.1NG027400.1,Pavir.1NG027400.1.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT4G31310.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",-6113,-7302,6113
Chr01N,3475110,3495110,20001,+,spliceSite,40,7835,Pavir.1NG027400,8.599081658,3.055100268,3485110,Chr01N_3485110,2,9,2.02476474,9,1.890453021,9,1.628763629,9,3491223,3492412,1190,+,41587833,Pavir.1NG027400.1,Pavir.1NG027400.1.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT4G31310.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",-6113,-7302,6113
Chr05K,61282738,61302738,20001,+,spliceSite,423,63743,Pavir.5KG766600,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61281123,61283180,2058,+,41544315,Pavir.5KG766600.1,Pavir.5KG766600.1.p,PF02525,"PTHR30543,PTHR30543:SF5",KOG4530,"1.6.5.2,1.6.5.3",NA,NA,AT3G27890.1,NQR,NADPH:quinone oxidoreductase,LOC_Os01g72460.1,NA,"NADPH quinone oxidoreductase, putative, expressed",11615,9558,9558
Chr05K,61282738,61302738,20001,+,spliceSite,423,63744,Pavir.5KG766800,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61288203,61290479,2277,+,41547685,Pavir.5KG766800.1,Pavir.5KG766800.1.p,PF13639,NA,NA,NA,NA,"GO:0008270,GO:0005515",AT5G19430.1,NA,RING/U-box superfamily protein,LOC_Os01g72480.1,NA,"zinc finger, C3HC4 type domain containing protein, expressed",4535,2259,2259
Chr05K,61282738,61302738,20001,+,spliceSite,423,63745,Pavir.5KG766800,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61288203,61290479,2277,+,41547685,Pavir.5KG766800.1,Pavir.5KG766800.1.p,PF13639,NA,NA,NA,NA,"GO:0008270,GO:0005515",AT5G19430.1,NA,RING/U-box superfamily protein,LOC_Os01g72480.1,NA,"zinc finger, C3HC4 type domain containing protein, expressed",4535,2259,2259
Chr05K,61282738,61302738,20001,+,spliceSite,423,68175,Pavir.5KG766700,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61285921,61286743,823,-,41547756,Pavir.5KG766700.1,Pavir.5KG766700.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os01g72470.1,NA,expressed protein,6817,5995,5995
Chr05K,61282738,61302738,20001,+,spliceSite,423,68176,Pavir.5KG766900,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61292452,61298495,6044,-,41544355,Pavir.5KG766900.3,Pavir.5KG766900.3.p,PF05142,"PTHR31604,PTHR31604:SF2",NA,NA,NA,NA,AT5G12330.4,LRP1,Lateral root primordium (LRP) protein-related,LOC_Os01g72490.2,NA,"LRP1, putative, expressed",286,-5757,286
Chr05K,61282738,61302738,20001,+,spliceSite,423,68177,Pavir.5KG766900,8.585719931,1.871644291,61292738,Chr05K_61292738,9,7,2.017498874,7,1.744577885,7,2.951998881,7,61292452,61298495,6044,-,41544355,Pavir.5KG766900.3,Pavir.5KG766900.3.p,PF05142,"PTHR31604,PTHR31604:SF2",NA,NA,NA,NA,AT5G12330.4,LRP1,Lateral root primordium (LRP) protein-related,LOC_Os01g72490.2,NA,"LRP1, putative, expressed",286,-5757,286
Chr07K,32888377,32908377,20001,-,spliceSite,553,87945,Pavir.7KG163100,8.579445699,2.024274859,32898377,Chr07K_32898377,13,9,1.514035852,9,1.724534655,9,3.316600333,9,32887167,32897738,10572,+,41572402,Pavir.7KG163100.1,Pavir.7KG163100.1.p,PF13671,"PTHR12435,PTHR12435:SF2",KOG3062,NA,K15456,NA,AT1G13870.1,DRL1,calmodulin binding;purine nucleotide binding,NA,NA,NA,11210,639,639
Chr07K,32888377,32908377,20001,-,spliceSite,553,87946,Pavir.7KG163200,8.579445699,2.024274859,32898377,Chr07K_32898377,13,9,1.514035852,9,1.724534655,9,3.316600333,9,32899887,32904325,4439,+,41570294,Pavir.7KG163200.1,Pavir.7KG163200.1.p,PF08156,"PTHR10894,PTHR10894:SF3",NA,NA,NA,NA,AT5G27120.1,NA,NOP56-like pre RNA processing ribonucleoprotein,LOC_Os12g20410.1,NA,"matrix attachment region binding protein, putative, expressed",-1510,-5948,1510
Chr07K,32888377,32908377,20001,-,spliceSite,553,87947,Pavir.7KG163200,8.579445699,2.024274859,32898377,Chr07K_32898377,13,9,1.514035852,9,1.724534655,9,3.316600333,9,32899887,32904325,4439,+,41570294,Pavir.7KG163200.1,Pavir.7KG163200.1.p,PF08156,"PTHR10894,PTHR10894:SF3",NA,NA,NA,NA,AT5G27120.1,NA,NOP56-like pre RNA processing ribonucleoprotein,LOC_Os12g20410.1,NA,"matrix attachment region binding protein, putative, expressed",-1510,-5948,1510
Chr07K,32888377,32908377,20001,-,spliceSite,553,87948,Pavir.7KG163200,8.579445699,2.024274859,32898377,Chr07K_32898377,13,9,1.514035852,9,1.724534655,9,3.316600333,9,32899887,32904325,4439,+,41570294,Pavir.7KG163200.1,Pavir.7KG163200.1.p,PF08156,"PTHR10894,PTHR10894:SF3",NA,NA,NA,NA,AT5G27120.1,NA,NOP56-like pre RNA processing ribonucleoprotein,LOC_Os12g20410.1,NA,"matrix attachment region binding protein, putative, expressed",-1510,-5948,1510
Chr05K,32754084,32774084,20001,+,spliceSite,398,61046,Pavir.5KG367014,8.565901172,1.992515945,32764084,Chr05K_32764084,9,9,1.651094732,9,2.269139534,9,2.653150961,9,32753504,32754402,899,+,41549288,Pavir.5KG367014.1,Pavir.5KG367014.1.p,NA,"PTHR22835,PTHR22835:SF173",NA,NA,NA,NA,AT5G03610.1,NA,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os04g55660.1,NA,"GDSL-like lipase/acylhydrolase, putative, expressed",10580,9682,9682
Chr05K,32754084,32774084,20001,+,spliceSite,398,61047,Pavir.5KG367021,8.565901172,1.992515945,32764084,Chr05K_32764084,9,9,1.651094732,9,2.269139534,9,2.653150961,9,32754403,32755071,669,+,41550139,Pavir.5KG367021.1,Pavir.5KG367021.1.p,NA,"PTHR22835,PTHR22835:SF173",NA,NA,NA,NA,AT5G03610.1,NA,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os04g55660.1,NA,"GDSL-like lipase/acylhydrolase, putative, expressed",9681,9013,9013
Chr03K,6810825,6830825,20001,-,spliceSite,231,36744,Pavir.3KG094400,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6817441,6819280,1840,-,41609144,Pavir.3KG094400.1,Pavir.3KG094400.1.p,PF00724,"PTHR22893,PTHR22893:SF44",KOG0134,1.3.1.42,K05894,"GO:0055114,GO:0016491,GO:0010181",AT1G76680.1,"ATOPR1,OPR1",12-oxophytodienoate reductase 1,LOC_Os06g11210.1,NA,"12-oxophytodienoate reductase, putative, expressed",3384,1545,1545
Chr03K,6810825,6830825,20001,-,spliceSite,231,36745,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36746,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36747,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36748,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36749,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36750,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36751,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36752,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36753,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr03K,6810825,6830825,20001,-,spliceSite,231,36754,Pavir.3KG094500,8.565681463,2.588455774,6820825,Chr03K_6820825,5,9,1.405725417,9,2.456483509,9,2.115016763,9,6820384,6828219,7836,-,41609292,Pavir.3KG094500.1,Pavir.3KG094500.1.p,"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171","PTHR22891,PTHR22891:SF34",NA,NA,K11593,"GO:0005515,GO:0003676",AT1G48410.1,AGO1,Stabilizer of iron transporter SufD / Polynucleotidyl transferase,LOC_Os04g47870.1,NA,"PINHEAD, putative, expressed",441,-7394,441
Chr02K,32852988,32872988,20001,+,spliceSite,123,16585,Pavir.2KG211400,8.564924917,1.45575311,32862988,Chr02K_32862988,3,4,1.745456607,5,1.553767647,4,3.809947553,6,32864614,32867676,3063,+,41657141,Pavir.2KG211400.1,Pavir.2KG211400.1.p,NA,"PTHR33207,PTHR33207:SF7",NA,NA,NA,NA,NA,NA,NA,LOC_Os09g08520.1,NA,expressed protein,-1626,-4688,1626
Chr02K,32852988,32872988,20001,+,spliceSite,123,16587,Pavir.2KG224060,8.564924917,1.45575311,32862988,Chr02K_32862988,3,4,1.745456607,5,1.553767647,4,3.809947553,6,32870386,32891689,21304,+,41650877,Pavir.2KG224060.1,Pavir.2KG224060.1.p,PF07819,"PTHR15495,PTHR15495:SF7",NA,NA,NA,"GO:0016788,GO:0006886,GO:0006505",AT3G27325.2,NA,"hydrolases, acting on ester bonds",LOC_Os09g09360.1,NA,"esterase/lipase/thioesterase, putative, expressed",-7398,-28701,7398
Chr02K,32852988,32872988,20001,+,spliceSite,123,20762,Pavir.2KG210800,8.564924917,1.45575311,32862988,Chr02K_32862988,3,4,1.745456607,5,1.553767647,4,3.809947553,6,32856415,32862440,6026,-,41651806,Pavir.2KG210800.1,Pavir.2KG210800.1.p,PF13242,"PTHR19288,PTHR19288:SF33",KOG2882,3.1.3.18,K19269,NA,AT5G47760.1,"ATPGLP2,ATPK5,PGLP2",2-phosphoglycolate phosphatase 2,LOC_Os09g08660.1,NA,"4-nitrophenylphosphatase, putative, expressed",6573,548,548
Chr05K,17698264,17718264,20001,+,spliceSite,386,60537,Pavir.5KG196700,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17707154,17708597,1444,+,41548046,Pavir.5KG196700.1,Pavir.5KG196700.1.p,PF01593,"PTHR10961,PTHR10961:SF22",KOG2820,NA,K00306,"GO:0055114,GO:0016491",AT2G24580.1,NA,FAD-dependent oxidoreductase family protein,LOC_Os01g21380.1,NA,"FAD dependent oxidoreductase domain containing protein, expressed",1110,-333,333
Chr05K,17698264,17718264,20001,+,spliceSite,386,65278,Pavir.5KG196500,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17694624,17698458,3835,-,41548526,Pavir.5KG196500.1,Pavir.5KG196500.1.p,PF01073,"PTHR10366,PTHR10366:SF379",NA,4.1.1.35,K08678,"GO:0055114,GO:0016616,GO:0006694,GO:0003854",AT3G62830.1,"ATUXS2,AUD1,UXS2",NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os01g21320.1,NA,"NAD dependent epimerase/dehydratase family domain containing protein, expressed",13640,9806,9806
Chr05K,17698264,17718264,20001,+,spliceSite,386,65279,Pavir.5KG196500,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17694624,17698458,3835,-,41548526,Pavir.5KG196500.1,Pavir.5KG196500.1.p,PF01073,"PTHR10366,PTHR10366:SF379",NA,4.1.1.35,K08678,"GO:0055114,GO:0016616,GO:0006694,GO:0003854",AT3G62830.1,"ATUXS2,AUD1,UXS2",NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os01g21320.1,NA,"NAD dependent epimerase/dehydratase family domain containing protein, expressed",13640,9806,9806
Chr05K,17698264,17718264,20001,+,spliceSite,386,65280,Pavir.5KG196507,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17705465,17706625,1161,-,41546290,Pavir.5KG196507.1,Pavir.5KG196507.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2799,1639,1639
Chr05K,17698264,17718264,20001,+,spliceSite,386,65281,Pavir.5KG196800,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17714704,17716587,1884,-,41544823,Pavir.5KG196800.1,Pavir.5KG196800.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6440,-8323,6440
Chr05K,17698264,17718264,20001,+,spliceSite,386,65282,Pavir.5KG196900,8.551883928,1.483897321,17708264,Chr05K_17708264,9,9,1.534680975,9,2.357047107,9,3.176258525,9,17716588,17718849,2262,-,41548328,Pavir.5KG196900.1,Pavir.5KG196900.1.p,PF01266,"PTHR10961,PTHR10961:SF22",KOG2820,NA,NA,"GO:0055114,GO:0016491",AT2G24580.1,NA,FAD-dependent oxidoreductase family protein,LOC_Os01g21380.1,NA,"FAD dependent oxidoreductase domain containing protein, expressed",-8324,-10585,8324
Chr09K,26411535,26431535,20001,+,spliceSite,682,109564,Pavir.9KG291313,8.545649423,1.890091279,26421535,Chr09K_26421535,17,9,2.531684105,9,1.679516936,9,2.444357103,9,26425978,26428909,2932,+,41604351,Pavir.9KG291313.1,Pavir.9KG291313.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4443,-7374,4443
Chr09K,26411535,26431535,20001,+,spliceSite,682,109565,Pavir.9KG291400,8.545649423,1.890091279,26421535,Chr09K_26421535,17,9,2.531684105,9,1.679516936,9,2.444357103,9,26428483,26430008,1526,+,41605377,Pavir.9KG291400.1,Pavir.9KG291400.1.p,PF00651,"PTHR26379,PTHR26379:SF148",NA,NA,K10523,GO:0005515,AT3G06190.1,"ATBPM2,BPM2",BTB-POZ and MATH domain 2,LOC_Os10g28780.1,NA,"MBTB35 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",-6948,-8473,6948
Chr08K,16042655,16062655,20001,-,spliceSite,598,101797,Pavir.8KG152801,8.540956011,2.546646419,16052655,Chr08K_16052655,15,9,1.417190842,9,2.559273267,9,2.017845483,9,16062083,16065897,3815,-,41640120,Pavir.8KG152801.1,Pavir.8KG152801.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9428,-13242,9428
Chr08K,16042655,16062655,20001,-,spliceSite,598,99368,Pavir.8KG152800,8.540956011,2.546646419,16052655,Chr08K_16052655,15,9,1.417190842,9,2.559273267,9,2.017845483,9,16056240,16062082,5843,+,41643889,Pavir.8KG152800.1,Pavir.8KG152800.1.p,PF00931,"PTHR23155,PTHR23155:SF624",KOG4658,2.3.1.156,K13457,GO:0043531,AT3G07040.1,"RPM1,RPS3",NB-ARC domain-containing disease resistance protein,LOC_Os11g11990.1,NA,"NB-ARC domain containing protein, expressed",-3585,-9427,3585
Chr08K,16042655,16062655,20001,-,spliceSite,598,99369,Pavir.8KG150801,8.540956011,2.546646419,16052655,Chr08K_16052655,15,9,1.417190842,9,2.559273267,9,2.017845483,9,16057227,16058697,1471,+,41642317,Pavir.8KG150801.1,Pavir.8KG150801.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4572,-6042,4572
Chr06N,10526776,10546776,20001,-,spliceSite,514,82596,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82597,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82598,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82599,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82600,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82601,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
Chr06N,10526776,10546776,20001,-,spliceSite,514,82602,Pavir.6NG067900,8.53695255,2.117916822,10536776,Chr06N_10536776,12,9,1.542804908,9,2.519763144,9,2.356467676,9,10528029,10543598,15570,+,41578094,Pavir.6NG067900.1,Pavir.6NG067900.1.p,"PF01419,PF00069","PTHR27002,PTHR27002:SF153",KOG1187,2.7.11.1,K04730,"GO:0006468,GO:0005524,GO:0004672",AT4G21410.1,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29,LOC_Os11g39490.1,NA,"jacalin-like lectin domain containing protein, expressed",8747,-6822,6822
